scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Digrammia colorata,1,1,1,0.0,0.0,0.0,Insecta,Creosote Moth,0
Digrammia irrorata,12,7,11,0.00999431043192531,0.007876225509092746,0.5833333333333334,Insecta,Pale-lined Angle,0
Digrammia neptaria,4,3,4,0.015987416996509404,0.013208665865011968,0.75,Insecta,Dark-bordered Granite,0
Digrammia nubiculata,3,1,2,3.933997079000377e-05,6.633288772021006e-05,0.0,Insecta,Shaded Granite Moth and Allies,0
Digrammia pallidata,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Digrammia pictipennata,1,1,1,0.0,0.0,1.0,Insecta,Unknown,0
Dikrella,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Dilophus occipitalis,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Dilophus orbatus,4,4,4,0.02603653912770443,0.008852012944503707,0.5,Insecta,Unknown,0
Dilophus tibialis,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Dimelaena,12,10,10,0.0356465901325524,0.029479325368710008,0.0,Fungi,Mountain Lichens,1
Dimelaena oreina,1,1,1,0.0,0.0,1.0,Fungi,Golden Moonglow Lichen,0
Dimelaena radiata,29,19,26,0.021180764381735124,0.019409958686883756,0.3448275862068966,Fungi,mountain lichen,0
Dimorphotheca,1,1,1,0.0,0.0,0.0,Plantae,Afro-Australian daisies,0
Dimorphotheca ecklonis,2,1,2,3.535533906050105e-05,4.831893980567398e-05,0.5,Plantae,blue-and-white daisybush,0
Dimorphotheca sinuata,7,7,7,0.012246948001103942,0.013917105385355438,0.42857142857142855,Plantae,Cape marigold,0
Dinocampus coccinellae,1,1,1,0.0,0.0,1.0,Insecta,Ladybird Parasitoid Wasp,0
Dinomus,3,3,3,0.007990065376975256,0.01844676798346326,0.0,Insecta,Unknown,0
Dinomus confluens,4,4,4,0.0051857885955001294,0.022251024418604482,0.75,Insecta,Unknown,0
Dioctria,2,2,2,0.018088337702742638,0.020597928117102923,0.0,Insecta,Unknown,0
Dione vanillae,15,14,14,0.015834584167268826,0.02437464075786791,1.0,Insecta,Gulf Fritillary,0
Dionycha,2,2,2,0.015386740432241554,0.008631216758739768,0.0,Arachnida,Dionycha clade spiders,0
Dioprosopa clavata,15,6,15,0.008571275714579399,0.021505360354776324,1.0,Insecta,Four-speckled Hover Fly,0
Dioxys,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Dipalta serpentina,2,2,2,0.03543465056006935,0.0027879934862123927,1.0,Insecta,Unknown,0
Diplachne fusca,2,2,2,1.060660171362845e-05,5.892532926038705e-06,0.0,Plantae,sprangletop,0
Diplachne fusca uninervia,1,1,1,0.0,0.0,0.0,Plantae,mexican sprangletop,0
Diplacus,154,113,131,0.024223703241657322,0.018272105260376235,0.0,Plantae,Unknown,1
Diplacus brevipes,10,8,8,0.009691790367188443,0.02703597979823015,1.0,Plantae,wide-throated yellow monkeyflower,0
Diplacus longiflorus,2,2,2,0.033200777767403856,0.002362045866961228,0.5,Plantae,southern bush monkeyflower,0
Diplacus puniceus,1063,602,588,0.01820366716834589,0.015601688548327478,0.8861712135465664,Plantae,red bush monkeyflower,1
Diplacus × australis,122,80,96,0.031907979661956916,0.019715822357489518,0.9344262295081968,Plantae,San Diego Monkeyflower,1
Diplazon laetatorius,4,4,4,0.009317915729667742,0.011142163930492974,0.25,Insecta,Common Hover Fly Parasitoid Wasp,0
Diplocarpon,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Diplocarpon rosae,3,1,3,2.3833365480809144e-05,0.005113565279720808,0.6666666666666666,Fungi,Rose Black Spot,0
Diplolepis,1,1,1,0.0,0.0,0.0,Insecta,Unknown,0
Diplolepis californica,7,3,7,0.00010342245270830731,0.0009797549828240435,1.0,Insecta,Unknown,0
Diplopoda,1,1,1,0.0,0.0,0.0,Animalia,Millipedes,0
Diploschistes,11,10,11,0.009180457855445783,0.023701113202785687,0.0,Fungi,Crater Lichens,0
Diploschistes actinostomus,1,1,1,0.0,0.0,0.0,Fungi,Cracked Granite Crater,0
Diploschistes muscorum,12,7,12,0.008131267895240558,0.025190430160059375,0.4166666666666667,Fungi,Cowpie Lichen,0
