rank,scientific_name,common_name,iconic_taxon_name,confidence,prob_mean,prob_std,models_agree,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3
194,Coprinellus bipellis,,Fungi,Moderate (30-50%),0.4091,0.319,2,0.1267,0.6374,0.8763,0.0298,0.476,0.3083
195,Graphocephala atropunctata,Blue-green Sharpshooter,Insecta,Moderate (30-50%),0.4091,0.319,2,0.1267,0.6374,0.8763,0.0298,0.476,0.3083
196,Microtus californicus,California Vole,Mammalia,Moderate (30-50%),0.4091,0.319,2,0.1267,0.6374,0.8763,0.0298,0.476,0.3083
197,Solanum,nightshades,Plantae,Moderate (30-50%),0.4071,0.3602,3,0.6281,0.7047,0.8285,0.0106,0.2553,0.0154
198,Juglans californica,Southern California Walnut,Plantae,Moderate (30-50%),0.4043,0.2058,2,0.2762,0.3431,0.4151,0.1253,0.7,0.5662
199,Nemognatha,,Insecta,Moderate (30-50%),0.4032,0.203,2,0.2833,0.5699,0.6511,0.0837,0.4086,0.4226
200,Agulla,Common Snakeflies,Insecta,Moderate (30-50%),0.4032,0.203,2,0.2833,0.5699,0.6511,0.0837,0.4086,0.4226
201,Mecaphesa,,Arachnida,Moderate (30-50%),0.4032,0.203,2,0.2833,0.5699,0.6511,0.0837,0.4086,0.4226
202,Neotephritis finalis,Sunflower Seed Maggot,Insecta,Moderate (30-50%),0.4032,0.203,2,0.2833,0.5699,0.6511,0.0837,0.4086,0.4226
203,Neoscona crucifera,Spotted Orbweaver,Arachnida,Moderate (30-50%),0.4004,0.1905,3,0.5178,0.549,0.5816,0.0828,0.3769,0.294
204,Agaricus xanthodermus,Yellow Stainer,Fungi,Moderate (30-50%),0.3965,0.1519,1,0.2829,0.3402,0.4105,0.248,0.6727,0.4248
205,Misumenini,,Arachnida,Moderate (30-50%),0.3891,0.2721,2,0.2325,0.5754,0.7894,0.0158,0.4301,0.2913
206,Sorghum bicolor,Sorghums,Plantae,Moderate (30-50%),0.3891,0.2721,2,0.2325,0.5754,0.7894,0.0158,0.4301,0.2913
207,Agromyzidae,Leaf-miner Flies,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
208,Thaumatomyia,,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
209,Thecabius,,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
210,Aphididae,Aphids,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
211,Trirhabda luteocincta,Goldenbush beetle,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
212,Acridoidea,Short-horned Grasshoppers and Locusts,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
213,Exoristinae,,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
214,Caladonus coquilletti,,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
215,Colletes,Cellophane Bees,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
216,Stagmomantis californica,California Mantis,Insecta,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
217,Paspalum dilatatum,Dallis grass,Plantae,Moderate (30-50%),0.3871,0.2835,2,0.3837,0.629,0.7873,0.0214,0.3289,0.1726
218,Ochlodes sylvanoides,Woodland Skipper,Insecta,Moderate (30-50%),0.3862,0.1511,1,0.2467,0.3308,0.3469,0.4093,0.6751,0.3081
219,Sonchus,sow thistles,Plantae,Moderate (30-50%),0.3828,0.2164,2,0.2733,0.5733,0.6659,0.0592,0.3519,0.3731
220,Crotalus ruber,Red Diamond Rattlesnake,Reptilia,Moderate (30-50%),0.3828,0.2164,2,0.2733,0.5733,0.6659,0.0592,0.3519,0.3731
221,Pezizales,,Fungi,Moderate (30-50%),0.3821,0.3037,3,0.5154,0.6164,0.7772,0.0687,0.2868,0.0283
222,Bubo virginianus pacificus,Coastal Great Horned Owl,Aves,Moderate (30-50%),0.3722,0.2317,2,0.1433,0.1752,0.2354,0.4141,0.7357,0.5292
223,Lonicera,honeysuckles,Plantae,Moderate (30-50%),0.3659,0.1218,0,0.34,0.4628,0.4831,0.2821,0.4515,0.1761
224,Sympetrum corruptum,Variegated Meadowhawk,Insecta,Moderate (30-50%),0.363,0.2907,2,0.4289,0.6188,0.7589,0.0048,0.2219,0.1445
225,Gilia angelensis,chaparral gilia,Plantae,Moderate (30-50%),0.363,0.2907,2,0.4289,0.6188,0.7589,0.0048,0.2219,0.1445
226,Braconidae,Braconid Wasps,Insecta,Moderate (30-50%),0.3618,0.284,2,0.4024,0.6127,0.7511,0.0051,0.2606,0.1389
227,Flavoparmelia,greenshield lichens,Fungi,Moderate (30-50%),0.3568,0.3681,3,0.7067,0.6549,0.7151,0.0283,0.0326,0.0034
228,Coniontis,,Insecta,Moderate (30-50%),0.3524,0.1077,1,0.3067,0.4062,0.3845,0.1903,0.509,0.3176
229,Amsinckia tessellata,Bristly Fiddleneck,Plantae,Moderate (30-50%),0.3431,0.2794,2,0.2142,0.5462,0.7929,0.0186,0.2933,0.1933
230,Glomeromycota,Glomeromycetes,Fungi,Moderate (30-50%),0.3387,0.1436,1,0.1867,0.2371,0.2779,0.5877,0.4012,0.3418
231,Gymnopilus sapineus,Scaly Rustgill,Fungi,Moderate (30-50%),0.3387,0.1436,1,0.1867,0.2371,0.2779,0.5877,0.4012,0.3418
232,Paropsisterna m-fuscum,Eucalyptus Leaf Beetle,Insecta,Moderate (30-50%),0.337,0.0975,0,0.2333,0.3267,0.3301,0.4383,0.4612,0.2323
233,Quercus wislizeni,interior live oak,Plantae,Moderate (30-50%),0.3359,0.2322,1,0.1167,0.1384,0.2127,0.4516,0.7269,0.3688
234,Erynnis funeralis,Funereal Duskywing,Insecta,Moderate (30-50%),0.3359,0.2322,1,0.1167,0.1384,0.2127,0.4516,0.7269,0.3688
235,Brassicaceae,mustard family,Plantae,Moderate (30-50%),0.3284,0.2785,2,0.2275,0.5283,0.7801,0.0098,0.2632,0.1614
236,Archilestes californicus,California Spreadwing,Insecta,Moderate (30-50%),0.3247,0.257,2,0.492,0.5429,0.6202,0.0607,0.1892,0.0431
237,Melissodes,,Insecta,Moderate (30-50%),0.308,0.2901,2,0.4648,0.5479,0.6767,0.0261,0.1222,0.0102
238,Galium nuttallii,San Diego bedstraw,Plantae,Moderate (30-50%),0.3044,0.2519,2,0.4792,0.5182,0.5718,0.0238,0.217,0.0162
