rank,scientific_name,elevation,slope,aspect,ndvi,landcover,impervious,bathymetry,soil_sand,soil_ph,soil_clay,common_name,iconic_taxon_name,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3,prob_mean,prob_std,models_agree,confidence,imputed_into,sourced_from
19,Clarkia unguiculata,212.0,3.546942710876465,44.23588180541992,0.1605035811662674,23.0,37.0,209.0,44.0,72.0,29.0,Elegant Clarkia,Plantae,0.6266666666666667,0.7679684110449593,0.8096831921062249,0.5217722,0.8033546,0.85101956,0.7300774429786241,0.12794858500755085,6,High (70-90%),Elliott Chaparral,Mission Trails
20,Gnaphalium palustre,199.0,3.9676494598388676,215.55990600585938,0.1371175423264503,52.0,0.0,186.0,43.0,73.0,29.5,western marsh cudweed,Plantae,0.4,0.6377553487700516,0.6523511941355765,0.9206149,0.806902,0.9046298,0.7203755431705812,0.19780099278336008,5,High (70-90%),Elliott Chaparral,Mission Trails
21,Succineidae,209.0,7.0713982582092285,276.6709747314453,0.14252093434333796,36.5,0.5,208.5,43.0,72.5,29.5,Amber Snails,Mollusca,0.5933333333333334,0.8006936194101878,0.8473509532124899,0.42121536,0.8289912,0.822498,0.7190137432600228,0.1734505800303934,5,High (70-90%),Elliott Chaparral,Mission Trails
22,Pseudomethoca athamas,178.0,9.083495616912842,155.1340789794922,0.1286626905202865,52.0,0.0,168.0,42.5,72.5,26.0,,Insecta,0.4,0.5281924695413862,0.42303685337066055,0.884913,0.90656674,0.97331333,0.6860037368141528,0.26329218081893985,4,Good (50-70%),Elliott Chaparral,Mission Trails
23,Xanthoria parietina,182.0,14.59373378753662,207.02102661132807,0.1267418712377548,52.0,0.0,231.0,45.0,71.0,27.0,Common Sunburst Lichen,Fungi,0.6,0.7711039064243725,0.67246312730349,0.26162493,0.72980547,0.89806664,0.6555106792383555,0.21736131520602994,5,Good (50-70%),Elliott Chaparral,Mission Trails
24,Dimorphotheca,226.0,1.1034786701202393,90.0,0.132181778550148,23.0,50.0,231.0,44.0,72.0,31.0,Afro-Australian daisies,Plantae,0.41,0.6547219783558204,0.6183748707056087,0.46821675,0.80782604,0.79468083,0.6256367453497945,0.16367516069144522,4,Good (50-70%),Elliott Chaparral,Mission Trails
25,Acridoidea,186.0,8.828861236572266,183.86087036132812,0.15138950943946836,52.0,0.0,151.5,43.5,72.5,29.5,Short-horned Grasshoppers and Locusts,Insecta,0.31666666666666665,0.4357647522049825,0.3529575036286267,0.78636557,0.8185128,0.962405,0.6121120524087984,0.2761224906270413,3,Good (50-70%),Elliott Chaparral,Mission Trails
26,Anorus piceus,253.5,9.628323793411255,112.44693374633789,0.13781284168362615,21.5,27.5,244.0,43.0,72.0,29.0,,Insecta,0.36666666666666664,0.7096473776671293,0.5970492167737731,0.44528487,0.59725577,0.84020936,0.5926855442729203,0.17192994600445907,4,Good (50-70%),Elliott Chaparral,Mission Trails
27,Polygonaceae,215.5,4.684542655944824,126.71602630615234,0.13882389292120925,52.0,0.0,199.5,42.5,73.0,27.0,knotweed family,Plantae,0.54,0.6850332414702944,0.6724237007783528,0.621621,0.5824703,0.4324235,0.5889952924927581,0.09402751121505125,5,Good (50-70%),Elliott Chaparral,Mission Trails
28,Platyninae,163.0,2.8506152629852295,168.6058349609375,0.15424989536404604,71.0,0.0,183.5,43.5,71.5,26.0,,Insecta,0.12333333333333334,0.17026263097598957,0.19357703745655944,0.8962482,0.8524984,0.7905223,0.50440698544179,0.3768432008977915,3,Good (50-70%),Elliott Chaparral,Mission Trails
29,Silene antirrhina,177.0,2.3936030864715576,247.21575927734372,0.1210597679018974,52.0,0.0,187.0,41.0,72.0,28.0,sleepy catchfly,Plantae,0.32,0.6002687119629116,0.7099370687987193,0.09485843,0.49239457,0.77870613,0.49936081849819947,0.2562809314046864,3,Moderate (30-50%),Elliott Chaparral,Mission Trails
30,Xenoglossa pomonae,170.0,6.620662212371826,229.9575958251953,0.12773098051548,52.0,0.0,186.0,44.0,72.0,29.0,Pomona Longhorn,Insecta,0.26,0.3070508248999577,0.33863338483999683,0.8723759,0.7777677,0.35208654,0.4846523961881451,0.26726480708788924,2,Moderate (30-50%),Elliott Chaparral,Mission Trails
31,Cercis,196.5,7.97292149066925,46.84869003295898,0.09247663617134089,22.0,37.5,191.0,41.0,73.5,30.5,redbuds,Plantae,0.37666666666666665,0.5075203506869923,0.5037913346936912,0.33447102,0.5352159,0.557649,0.4692190499665582,0.0911708874291949,4,Moderate (30-50%),Elliott Chaparral,Mission Trails
32,Dimorphotheca sinuata,181.0,3.8648781776428223,152.1179656982422,0.1248063296079635,52.0,0.0,186.0,45.0,72.0,28.0,Cape marigold,Plantae,0.35333333333333333,0.26600293791047425,0.38568039765379125,0.52427346,0.6824702,0.5863546,0.46635248996511597,0.15740614518697396,3,Moderate (30-50%),Elliott Chaparral,Mission Trails
33,Cephenemyia,229.0,4.29365336894989,101.39544677734375,0.13934516906738276,52.0,0.0,164.5,45.0,71.0,28.0,,Insecta,0.3333333333333333,0.48815978516049807,0.36102661344531517,0.3644158,0.43752658,0.78964293,0.4623508400420861,0.17023856588801484,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
34,Euodynerus,168.5,2.850353717803955,213.60516357421875,0.14413767307996744,36.5,0.5,186.0,43.0,73.0,27.5,,Insecta,0.3433333333333333,0.3815789080403634,0.3796860306477655,0.57310694,0.3940672,0.67478603,0.45775974097779226,0.13375690964313244,2,Moderate (30-50%),Elliott Chaparral,Mission Trails
35,Hypochaeris radicata,253.0,8.937373161315918,287.4875793457031,0.1224719956517219,52.0,0.0,187.0,43.0,70.0,28.0,Common Cat's-ear,Plantae,0.49333333333333335,0.6002454714250516,0.8621892674356638,0.05756298,0.40230724,0.264149,0.4466312175552363,0.27752671333945517,2,Moderate (30-50%),Elliott Chaparral,Mission Trails
36,Chrysoperla carnea,188.5,5.458301931619644,245.02093505859375,0.1117319725453853,38.0,45.0,154.5,42.0,73.0,27.5,carnea-group Green Lacewings,Insecta,0.17666666666666667,0.2387846315713307,0.2366988548248545,0.44202867,0.5942627,0.9261428,0.4357640592492474,0.2867722792988403,2,Moderate (30-50%),Elliott Chaparral,Mission Trails
37,Anas platyrhynchos,162.0,2.8812360763549805,149.2584991455078,0.135343462228775,22.0,0.0,172.0,42.0,71.0,26.0,Mallard,Aves,0.11666666666666667,0.11613487847567487,0.1535164801224176,0.65790445,0.7030052,0.6507755,0.399667193040851,0.2975990069917681,3,Moderate (30-50%),Elliott Chaparral,Mission Trails
38,Opuntieae,244.0,6.825344085693359,198.7872314453125,0.1208013147115707,52.0,0.0,213.0,42.0,71.0,30.0,,Plantae,0.2,0.4213517133827797,0.8653207597120948,0.04556811,0.37415975,0.28424022,0.36510675849881663,0.2790570145599442,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
39,Riccia,156.0,8.689611911773682,157.9282455444336,0.13429331034421915,52.0,0.0,186.5,44.5,72.0,27.5,Crystalworts,Plantae,0.09333333333333334,0.09981490313030694,0.13283196211487455,0.6976229,0.7160451,0.40855196,0.3580333561030491,0.2944500363455793,2,Moderate (30-50%),Elliott Chaparral,Mission Trails
40,Festuca,234.0,4.317318916320801,141.57086181640625,0.1359885185956955,52.0,0.0,186.0,42.0,73.0,29.0,Fescues,Plantae,0.42,0.6459794497748154,0.5838611559810243,0.056553558,0.28773192,0.06787132,0.3436662327084597,0.251610372546704,2,Moderate (30-50%),Elliott Chaparral,Mission Trails
41,Callimelissodes,184.0,6.620662212371826,260.46142578125,0.1200153529644012,21.0,1.0,186.0,45.0,72.0,27.0,,Insecta,0.2733333333333333,0.2454704772469825,0.3832061111548483,0.13945264,0.6075443,0.4094254,0.34307204476092207,0.16236348405763745,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
42,Anopina,159.5,7.849410772323608,158.86037826538083,0.1287654601037502,21.0,4.5,183.5,44.0,72.0,26.5,,Insecta,0.2,0.1888384780254371,0.23683985076281489,0.5048478,0.47160873,0.44964772,0.34196376769343534,0.1480452430363285,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
43,Trifolium depauperatum,209.0,9.875899314880373,127.37692260742188,0.1347018629312515,52.0,0.0,186.0,45.0,72.0,27.0,cowbag clover,Plantae,0.3466666666666667,0.26132951903304635,0.3604066530669951,0.18386483,0.61976403,0.2604187,0.338741735627276,0.1520655816023455,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
44,Bromus carinatus,168.0,6.611931562423706,202.22100067138672,0.13536342233419413,52.0,0.0,186.5,42.5,73.5,27.5,California brome,Plantae,0.22333333333333333,0.26701656418864955,0.24639787105573138,0.3350482,0.3828837,0.55453074,0.33486840080168173,0.12282346834045471,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
45,Hesperotettix viridis viridis,180.0,5.29053258895874,224.42625427246094,0.11920239776372905,52.0,0.0,186.5,41.5,73.5,29.0,Snakeweed Grasshopper,Insecta,0.3,0.37571758842619324,0.5537290431481731,0.14471012,0.425222,0.20156226,0.33349017002578146,0.1502448125539304,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
46,Anostraca,211.5,4.2149128913879395,302.27793884277344,0.1262195892632007,37.5,25.0,179.0,43.0,73.5,30.5,Fairy Shrimps,Animalia,0.2966666666666667,0.3141830770894881,0.4768210250623278,0.10939317,0.530932,0.26655266,0.3324247678156073,0.15228199684817514,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
47,Trox gemmulatus,163.5,8.500371932983398,119.51490783691406,0.14658685028553003,52.0,0.0,186.5,44.0,72.0,28.0,,Insecta,0.18666666666666668,0.22275872910626993,0.2523269978727494,0.5826147,0.5794139,0.16063134,0.33073539134572644,0.19635794481029675,2,Moderate (30-50%),Elliott Chaparral,Mission Trails
48,Lomatium dasycarpum dasycarpum,268.5,11.51497507095337,188.46572494506836,0.1245501041412353,36.5,4.0,217.5,43.5,72.5,28.5,,Plantae,0.39666666666666667,0.5124428387186074,0.752192248198951,0.07157709,0.10480051,0.11961749,0.3262161400026214,0.2748265765130066,2,Moderate (30-50%),Elliott Chaparral,Mission Trails
49,Hirundo rustica,162.5,2.1106462478637695,139.6548614501953,0.09596615657210344,22.5,0.0,172.0,44.5,71.5,26.5,Barn Swallow,Aves,0.22666666666666666,0.1982405398120063,0.2466782932760623,0.42485985,0.43446794,0.42389545,0.3258014568870578,0.11278596618622598,0,Moderate (30-50%),Elliott Chaparral,Mission Trails
50,Anatidae,162.0,2.881246566772461,130.0543975830078,0.1328422427177429,22.0,0.0,172.0,43.0,72.0,26.0,"Ducks, Geese, and Swans",Aves,0.1,0.10867293126098297,0.1474703417695701,0.40969506,0.6790386,0.49884954,0.32395440954546695,0.24152550826236002,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
51,Diachus auratus,172.0,7.508976459503174,263.1914825439453,0.14071536809206003,52.0,0.0,178.0,45.0,72.0,25.5,Bronze Leaf Beetle,Insecta,0.28,0.2760374776844693,0.3112010534490788,0.23438442,0.22224064,0.61836696,0.3237050911818968,0.14794425948667167,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
52,Bethylinae,199.5,12.615269660949707,200.34589004516602,0.1255899854004383,46.0,0.5,186.5,42.0,73.5,29.0,,Insecta,0.3566666666666667,0.40239200768592026,0.541976121488572,0.21566106,0.2819987,0.13113023,0.3216374644969207,0.14518450313341869,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
53,Malvaceae,176.0,5.122503280639648,173.82351684570312,0.1498595476150512,52.0,0.0,187.0,43.0,71.0,26.0,Mallow and Hibiscus Family,Plantae,0.22,0.17172908556532065,0.27363224959774807,0.39642927,0.71273327,0.14683522,0.320226516207846,0.21175496135836286,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
54,Lepidium didymum,182.0,4.939173936843872,193.3871612548828,0.13637870550155634,23.0,1.0,182.0,43.0,73.0,30.0,Lesser swine-cress,Plantae,0.2866666666666667,0.3984308194287324,0.5142928538915935,0.122573085,0.3404706,0.2278917,0.3150542892741681,0.13619532236844123,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
55,Oxalis purpurea,278.0,2.942082107067108,90.0,0.10918889194726936,52.0,0.0,213.0,44.0,72.0,29.0,Purple woodsorrel,Plantae,0.2733333333333333,0.4410823962638918,0.759790513569009,0.021163613,0.21440773,0.15229973,0.31034621914375254,0.2601044181861694,1,Moderate (30-50%),Elliott Chaparral,Mission Trails
