rank,scientific_name,elevation,slope,aspect,ndvi,landcover,impervious,bathymetry,soil_sand,soil_ph,soil_clay,common_name,iconic_taxon_name,prob_RF_v1,prob_RF_v2,prob_RF_v3,prob_XGB_v1,prob_XGB_v2,prob_XGB_v3,prob_mean,prob_std,models_agree,confidence,imputed_into,sourced_from
2704,Dryobates pubescens turati,93.0,1.854334115982056,180.0,0.1706262379884719,21.0,19.0,127.0,40.0,71.0,28.0,Downy Woodpecker (Willow),Aves,0.0,0.010762988077137289,0.005952031704676596,0.00017461607,0.0008217056,0.00083807163,0.003091568850112136,0.004366459915869043,0,Low (<30%),Elliott Chaparral,Mission Trails
2705,Thysanocarpus curvipes,145.5,11.315282821655273,50.71909999847412,0.1388455256819725,52.0,0.0,203.0,46.5,69.5,24.0,sand fringepod,Plantae,0.01,0.006590685699061911,0.0016664415022966763,1.8298708e-05,5.205904e-05,0.0002193199,0.003091134142123227,0.0042174553883401866,0,Low (<30%),Elliott Chaparral,Mission Trails
2706,Porcellio dilatatus,108.0,2.2068426609039307,149.2394561767578,0.1891837865114212,52.0,0.0,187.0,42.0,73.0,28.0,Giant Canyon Woodlouse,Animalia,0.0033333333333333335,0.003204188481675393,0.009774185383270469,9.939308e-05,0.0015474433,0.00056176353,0.003086717857117257,0.003534563910337675,0,Low (<30%),Elliott Chaparral,Mission Trails
2707,Coquillettapis,172.5,8.523866653442383,165.20330429077146,0.13886933773756024,52.0,0.0,146.0,45.0,74.5,27.0,,Insecta,0.013333333333333334,0.0,0.0040173715176902046,7.492885e-05,0.000326344,0.0007633822,0.003085893311710277,0.005243576901038448,0,Low (<30%),Elliott Chaparral,Mission Trails
2708,Lactuca,141.0,3.7848193645477295,248.03350830078125,0.19053719192743296,52.0,0.0,191.5,49.5,73.0,23.5,wild lettuces,Plantae,0.01,0.0008463993100474343,0.007187139801216245,3.5342397e-05,0.00014052862,0.00029836924,0.0030846298939631637,0.004367876884664729,0,Low (<30%),Elliott Chaparral,Mission Trails
2709,Cistus,110.0,7.146229267120361,270.0,0.1753535866737365,22.0,8.0,187.0,42.0,70.0,26.0,Shrubby Rock-roses,Plantae,0.0033333333333333335,0.00392356097734927,0.007689526992212621,0.00059094554,0.0023242955,0.0006375563,0.003083203101925424,0.0026364924838011387,0,Low (<30%),Elliott Chaparral,Mission Trails
2710,Zonotrichia leucophrys gambelii,133.5,3.6126277446746826,114.77642059326172,0.18227032572031016,61.5,0.0,148.5,45.5,73.5,28.0,Gambel's White-crowned Sparrow,Aves,0.01,0.007549078186626762,0.00012192711061907544,4.260259e-05,0.00030574802,0.00045859,0.003079657649446303,0.004481144984738475,0,Low (<30%),Elliott Chaparral,Mission Trails
2711,Xylotrechus insignis,84.0,2.3933231830596924,247.21295166015625,0.2074627578258514,90.0,0.0,166.0,42.0,71.0,26.0,Willow Borer,Insecta,0.0,0.0,0.005830231210923041,0.0021757258,0.0084302155,0.0020235654,0.0030766229757974287,0.0033792033253501313,0,Low (<30%),Elliott Chaparral,Mission Trails
2712,Platanus racemosa,93.0,4.756076812744141,130.0355224609375,0.1753535866737365,23.0,1.0,166.0,43.0,72.0,27.0,western sycamore,Plantae,0.0033333333333333335,0.001208094599536755,0.002499746681528017,0.0013297929,0.008776283,0.0012975218,0.0030741286927471433,0.0029186567825084156,0,Low (<30%),Elliott Chaparral,Mission Trails
2713,Creontiades,146.0,17.08397102355957,125.40747833251952,0.1269161850214004,52.0,0.0,187.0,43.0,72.0,29.0,,Insecta,0.0,0.0,0.017683074166821546,4.0592953e-05,0.0003339467,0.0003814108,0.003073170767378799,0.007159378226770973,0,Low (<30%),Elliott Chaparral,Mission Trails
2714,Leymus condensatus,85.0,8.186498880386353,225.0,0.1808019280433654,52.0,0.0,187.0,45.0,72.0,27.0,giant wild rye,Plantae,0.01,0.0023838941937063276,0.005226768181555652,6.559624e-05,0.00038010027,0.00037844593,0.0030724674698585446,0.003915449385074489,0,Low (<30%),Elliott Chaparral,Mission Trails
2715,Scaphinotus punctatus,88.0,7.459165573120117,191.2178497314453,0.1558219939470291,52.0,0.0,187.0,45.0,72.0,27.0,Punctate Snail-eating Beetle,Insecta,0.006666666666666667,0.0,0.010790370898489514,5.2887433e-05,0.00045486254,0.00045645292,0.0030702067441797606,0.004576845598103309,0,Low (<30%),Elliott Chaparral,Mission Trails
2716,Helicoidea,100.0,5.329824209213257,231.81714630126953,0.13652586191892618,37.0,0.5,152.0,43.5,73.5,29.5,,Mollusca,0.013333333333333334,0.0,0.0029997568093385212,6.299442e-05,0.0010068493,0.0010052397,0.0030680289287952703,0.0051444675202074975,0,Low (<30%),Elliott Chaparral,Mission Trails
2717,Cupido amyntula,189.0,9.621417045593262,237.77863311767578,0.13917710632085795,52.0,0.0,143.0,44.0,74.0,28.0,Western Tailed-Blue,Insecta,0.006666666666666667,0.0,0.009426317800382127,6.9314636e-05,0.0006044694,0.0016283528,0.0030658535474896026,0.003998121670324322,0,Low (<30%),Elliott Chaparral,Mission Trails
2718,Simandrena,95.0,6.620803356170654,261.0464172363281,0.1422975212335586,23.0,2.0,166.0,43.0,72.0,27.0,,Insecta,0.0033333333333333335,0.002666849554763629,0.0028568947048435195,0.00073576067,0.0066523803,0.0021360472,0.0030635443050342054,0.001971366453849619,0,Low (<30%),Elliott Chaparral,Mission Trails
2719,Collops marginicollis,176.0,7.376980304718018,222.76358795166016,0.12661189585924146,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0009715313155528917,0.014983457883444018,0.00028182118,0.0011177656,0.0010079714,0.0030604245477870167,0.005858250968122185,0,Low (<30%),Elliott Chaparral,Mission Trails
2720,Cryptus,103.0,4.309121608734131,149.24166870117188,0.1185575127601623,71.0,0.0,127.0,41.0,71.0,29.0,,Insecta,0.006666666666666667,0.0,0.0053529589281492585,0.00029542175,0.004451521,0.0015587105,0.0030542131703462975,0.0028093486287398776,0,Low (<30%),Elliott Chaparral,Mission Trails
2721,Glaucina,98.0,6.556796073913574,209.80168151855466,0.12246121093630791,21.5,24.0,166.0,44.0,74.0,27.0,,Insecta,0.0,0.007086364286473087,0.009393463002324312,0.00018022327,0.00094148505,0.0007168719,0.003053067914117639,0.004097783392453394,0,Low (<30%),Elliott Chaparral,Mission Trails
2722,Termitoidae,97.0,9.178228378295898,252.50860595703125,0.1193745732307434,21.0,15.0,166.0,46.0,74.0,26.0,Termites,Insecta,0.006666666666666667,0.0034259684351255464,0.007499366703819067,3.8592185e-05,0.00022055714,0.0004622003,0.00305222523595239,0.0033701482367854956,0,Low (<30%),Elliott Chaparral,Mission Trails
2723,Micranthophora,129.5,2.5866119861602783,180.0,0.13462292402982712,52.0,0.0,151.5,45.0,73.5,27.0,,Insecta,0.01,0.006676392392119436,0.00012192711061907544,5.756249e-05,0.0006487302,0.000798553,0.0030505275317951213,0.004238316256769712,0,Low (<30%),Elliott Chaparral,Mission Trails
2724,Stereum gausapatum,83.0,7.125751972198486,346.89259338378906,0.1996100172400474,36.5,7.5,152.0,42.0,75.0,29.0,Bleeding Oak Crust,Fungi,0.01,0.001235308581263831,0.005646563189425783,0.00017175995,0.00057595945,0.0006530947,0.003047114316737959,0.0039620195022355975,0,Low (<30%),Elliott Chaparral,Mission Trails
2725,Buellia dispersa,167.0,8.28909969329834,-0.0,0.1354051232337951,52.0,0.0,231.0,51.0,68.0,22.0,,Fungi,0.0,0.003897671278936908,0.00949934135718732,0.00024757584,0.0026709768,0.0019367685,0.003042055633898992,0.0034885869901360215,0,Low (<30%),Elliott Chaparral,Mission Trails
2726,Polycarpon tetraphyllum,150.0,7.45934534072876,101.86102294921876,0.1443367153406143,52.0,0.0,187.0,45.0,72.0,28.0,fourleaf manyseed,Plantae,0.006666666666666667,0.0,0.011093377007838252,2.0768704e-05,0.00018334,0.0002853318,0.0030415806968339524,0.004735306499096391,0,Low (<30%),Elliott Chaparral,Mission Trails
2727,Bruchinae,138.5,11.492354154586792,170.90558624267578,0.12507005035877225,52.0,0.0,187.0,45.0,72.5,27.0,Pea and Bean Weevils,Insecta,0.0033333333333333335,0.0,0.014273059130476098,3.1753094e-05,0.00020228929,0.00040020267,0.0030401062524024695,0.00564942374563888,0,Low (<30%),Elliott Chaparral,Mission Trails
2728,Copestylum violaceum,164.0,6.37657356262207,210.73953247070312,0.1369347721338272,52.0,0.0,166.0,43.0,74.0,27.0,Purple Bromeliad Fly,Insecta,0.006666666666666667,0.0024904186749463014,0.004226808721135301,0.00030826402,0.0030119596,0.0015129233,0.003036173493897558,0.002220734513035999,0,Low (<30%),Elliott Chaparral,Mission Trails
2729,Hyperomyzus,106.0,0.5518134832382202,45.0,0.20476634800434104,55.5,5.5,141.0,46.5,73.0,24.5,Currant-Daisy Aphids,Insecta,0.006666666666666667,0.0044024476563713525,0.006499787221107667,0.00010533199,0.00018744892,0.000339571,0.0030335422438899063,0.003194385476259957,0,Low (<30%),Elliott Chaparral,Mission Trails
2730,Hypochaeridinae,134.0,4.317405700683594,141.58395385742188,0.1634830385446548,52.0,0.0,187.0,45.0,72.0,28.0,"Oxtongues, Hawkbits and Allies",Plantae,0.01,0.0,0.007356822278149622,2.9105802e-05,0.00035176895,0.0004104782,0.0030246958734501325,0.004461461737467422,0,Low (<30%),Elliott Chaparral,Mission Trails
2731,Gerridae,82.5,9.38477087020874,292.7886047363281,0.16437978297471995,36.5,7.5,152.0,42.0,73.0,29.5,Water Striders,Insecta,0.01,0.0,0.005646563189425783,9.54393e-05,0.0014086089,0.0009757139,0.0030210542077695793,0.004001708881979618,0,Low (<30%),Elliott Chaparral,Mission Trails
2732,Sambucus cerulea,91.0,4.960360527038574,133.38665771484375,0.15583102405071256,23.0,1.0,166.0,43.0,72.0,26.0,blue elder,Plantae,0.0033333333333333335,0.0,0.0,0.0016233202,0.011488513,0.0016505356,0.003015950366906408,0.004333145291800128,0,Low (<30%),Elliott Chaparral,Mission Trails
2733,Archilestes,80.5,9.075448274612427,126.49411296844482,0.1431033462285995,37.0,10.0,156.5,39.5,71.5,28.5,Stream Spreadwings,Insecta,0.006666666666666667,0.0009970656683193364,0.008646319998764305,0.000109179935,0.0007194517,0.0009511744,0.0030149763962062253,0.0036630916357374074,0,Low (<30%),Elliott Chaparral,Mission Trails
2734,Asteiidae,89.0,2.9236878752708435,290.0179748535156,0.2224350720643997,58.5,12.5,121.5,42.0,73.5,29.5,Fine Flies,Insecta,0.006666666666666667,0.0,0.0065596774578318496,0.00047007727,0.0033010885,0.0010829062,0.003013402668307647,0.0030093548269709575,0,Low (<30%),Elliott Chaparral,Mission Trails
2735,Machaerantherinae,95.0,3.435070276260376,180.0,0.1327116191387176,52.0,0.0,197.0,43.0,70.0,28.0,,Plantae,0.0033333333333333335,0.0,0.00979558393610462,0.0008123636,0.003222498,0.0008956156,0.0030098990946280783,0.003593165077789934,0,Low (<30%),Elliott Chaparral,Mission Trails
2736,Chrysopilus tomentosus,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2737,Mycomya,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2738,Calinda,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2739,Arenigena,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2740,Lampropagasa,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2741,Brooksetta,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2742,Orgeriinae,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2743,Anthomyia obscuripennis,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2744,Corythucha marmorata,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,Chrysanthemum Lace Bug,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2745,Coelopoeta glutinosi,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2746,Rhagioninae,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2747,Platypalpus,177.0,1.854334115982056,180.0,0.1410885602235794,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0012127945305823464,0.013735041638278205,0.0004711582,0.0014946565,0.0010562646,0.0029949859208125464,0.005289126176779448,0,Low (<30%),Elliott Chaparral,Mission Trails
2748,Gosibius,94.5,7.463369607925415,65.47196769714355,0.1306608691811561,36.5,0.5,166.0,42.0,72.0,26.5,,Animalia,0.01,0.0,0.0029997568093385212,0.0004456139,0.0035059815,0.0010052866,0.002992773136630897,0.00370835472854029,0,Low (<30%),Elliott Chaparral,Mission Trails
2749,Candolleomyces candolleanus,95.0,5.163672208786011,135.80224609375,0.1390754655003547,22.5,3.5,159.0,43.0,72.5,27.0,Pale Brittlestem,Fungi,0.006666666666666667,0.0,0.0,0.0011235168,0.008613203,0.0015503399,0.00299228767812666,0.003703372408850813,0,Low (<30%),Elliott Chaparral,Mission Trails
2750,Dorymyrmex,95.0,2.7963411808013916,52.555487632751465,0.09776792302727695,37.5,36.5,146.5,41.5,72.0,27.5,Pyramid Ants,Insecta,0.01,0.0,0.006296032099635581,0.00010519488,0.0009227717,0.0006265736,0.0029917620407650647,0.004175915409874118,0,Low (<30%),Elliott Chaparral,Mission Trails
2751,Prenolepis imparis,246.0,8.585711479187012,180.0,0.1414334326982498,21.0,1.0,166.0,54.0,69.0,21.0,American Winter Ant,Insecta,0.0,0.0025868899809559404,0.010630732089151057,0.0007456487,0.0015937021,0.002389186,0.0029910264913923013,0.003868620326722307,0,Low (<30%),Elliott Chaparral,Mission Trails
2752,Calliopsima,176.0,4.357806444168091,226.99700927734375,0.13173401355743403,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0,0.0,0.01501471626378071,0.00032959544,0.0014217326,0.0011348488,0.002983482183448406,0.0059237242910384034,0,Low (<30%),Elliott Chaparral,Mission Trails
2753,Trichodes ornatus,106.0,9.178049087524414,72.50824737548828,0.1199448555707931,52.0,0.0,187.0,43.0,72.0,30.0,Ornate Checkered Beetle,Insecta,0.0,0.0,0.016406824978686486,6.616764e-05,0.000633088,0.0007830697,0.0029815250525873603,0.0065858231493241305,0,Low (<30%),Elliott Chaparral,Mission Trails
2754,Lepisma saccharinum,127.0,2.1577248573303223,329.2366027832031,0.0505870915949344,23.0,72.0,178.0,40.0,76.0,29.0,Common Silverfish,Insecta,0.0,0.0024029789348546703,0.014446576812378497,9.9681536e-05,0.00027608286,0.00064931135,0.002979105249163512,0.005687446601522263,0,Low (<30%),Elliott Chaparral,Mission Trails
2755,Tibellus oblongus,127.0,2.1577248573303223,329.2366027832031,0.0505870915949344,23.0,72.0,178.0,40.0,76.0,29.0,Oblong Running Spider,Arachnida,0.0,0.0024029789348546703,0.014446576812378497,9.9681536e-05,0.00027608286,0.00064931135,0.002979105249163512,0.005687446601522263,0,Low (<30%),Elliott Chaparral,Mission Trails
2756,Sphingidae,127.0,2.1577248573303223,329.2366027832031,0.0505870915949344,23.0,72.0,178.0,40.0,76.0,29.0,Sphinx Moths,Insecta,0.0,0.0024029789348546703,0.014446576812378497,9.9681536e-05,0.00027608286,0.00064931135,0.002979105249163512,0.005687446601522263,0,Low (<30%),Elliott Chaparral,Mission Trails
2757,Muhlenbergia rigens,97.0,6.846370220184326,90.0,0.1585832387208938,52.0,0.0,187.0,43.0,73.0,29.0,deergrass,Plantae,0.0033333333333333335,0.0017638217928073,0.011888075002601648,2.409921e-05,0.0004634764,0.00039947464,0.0029787133967152514,0.0045318224994275675,0,Low (<30%),Elliott Chaparral,Mission Trails
2758,Agrilus blandus,106.5,4.869275331497192,210.7520446777344,0.13343555480241776,52.0,0.0,159.0,45.0,73.5,26.5,,Insecta,0.006666666666666667,0.0006763923921194356,0.008913964366486742,7.292239e-05,0.0007409846,0.000798553,0.0029782472303720334,0.00380349931364917,0,Low (<30%),Elliott Chaparral,Mission Trails
2759,Agaricus californicus,99.0,5.74726152420044,270.0,0.1752955168485641,21.0,1.0,152.0,44.0,74.0,29.0,California Agaricus,Fungi,0.0033333333333333335,0.0030872233602479396,0.010579539843307504,3.4754587e-05,0.00030835188,0.0005244981,0.002977950186751168,0.003993268977459828,0,Low (<30%),Elliott Chaparral,Mission Trails
2760,Hordeum vulgare,79.0,6.788174390792847,140.93218994140625,0.18047926574945444,37.5,25.5,159.0,47.0,68.5,22.0,Common Barley,Plantae,0.01,0.0005881505492526562,0.005646563189425783,0.00051701686,0.00064572773,0.00042292214,0.002970063411535454,0.004004124642986924,0,Low (<30%),Elliott Chaparral,Mission Trails
2761,Ptilandrena,126.0,5.21454644203186,238.5829391479492,0.14472363144159311,37.0,4.5,111.0,44.0,75.0,29.0,,Insecta,0.01,0.001352891869237217,0.005646563189425783,4.5012177e-05,0.00017159429,0.0005688892,0.0029641584543629376,0.004033650600223518,0,Low (<30%),Elliott Chaparral,Mission Trails
2762,Arrhopalitidae,231.0,8.585711479187012,49.96129989624024,0.1414334326982498,21.0,1.0,166.0,57.0,69.0,20.0,,Animalia,0.0,0.0025868899809559404,0.010630732089151057,0.000540234,0.0019283162,0.002084242,0.0029617356979287136,0.003884006051818085,0,Low (<30%),Elliott Chaparral,Mission Trails
2763,Aleuropteryginae,174.5,4.4720752239227295,114.97892761230467,0.1406820267438888,52.0,0.0,106.0,45.0,76.0,25.0,,Insecta,0.0033333333333333335,0.0024033804549314784,0.009647264254068208,0.00021694435,0.0011240029,0.0010059567,0.0029551469856408433,0.003460696177311829,0,Low (<30%),Elliott Chaparral,Mission Trails
2764,Lactarius,110.0,7.158641815185547,318.98443603515625,0.1525221616029739,37.5,1.0,152.0,44.0,74.0,27.0,Common Milkcaps,Fungi,0.006666666666666667,0.0030617548328450875,0.007009998582373722,4.8900198e-05,0.00035611866,0.00057175825,0.002952532865588544,0.0031971951620623847,0,Low (<30%),Elliott Chaparral,Mission Trails
2765,Orthotrichum,93.5,14.501379013061522,313.4815368652344,0.16096174716949455,37.0,10.0,197.0,48.0,68.5,24.0,Bristle mosses,Plantae,0.01,0.0,0.0073130046917224585,3.7505564e-05,6.384539e-05,0.00027787779,0.0029487055723756207,0.004503188853932367,0,Low (<30%),Elliott Chaparral,Mission Trails
2766,Eleocharis montevidensis,92.0,4.9606242179870605,97.9729461669922,0.1826992034912109,52.0,0.0,197.0,42.0,72.0,27.0,sand spikerush,Plantae,0.0033333333333333335,0.0,0.011836113333420727,0.00011365291,0.0017396689,0.00062501035,0.002941296469395938,0.00453271095926943,0,Low (<30%),Elliott Chaparral,Mission Trails
2767,Ricinus communis,162.0,6.654586791992188,118.14356231689452,0.1675784140825271,52.0,0.0,168.0,42.0,74.0,28.0,castor bean,Plantae,0.0,0.00468123710527898,0.009644112112268111,0.00018849474,0.0018325635,0.0012957649,0.0029403620726717616,0.003691106358101758,0,Low (<30%),Elliott Chaparral,Mission Trails
2768,Romneya coulteri,93.0,4.9606242179870605,256.49810791015625,0.1500162631273269,52.0,0.0,166.0,42.0,72.0,26.0,Coulter's matilija poppy,Plantae,0.0033333333333333335,0.0,0.0028568947048435195,0.0010534935,0.008123579,0.0022597397,0.00293784010296811,0.002817670895187187,0,Low (<30%),Elliott Chaparral,Mission Trails
2769,Vanessa,288.0,6.980661749839783,81.71714782714844,0.11770173907279965,36.5,6.5,256.0,55.5,67.5,19.0,Ladies and Related Admirals,Insecta,0.0,0.0013206631621512333,0.011819667163782084,0.0014103376,0.0010913007,0.0019768933,0.0029364769971200193,0.0043999862890761925,0,Low (<30%),Elliott Chaparral,Mission Trails
2770,Pooideae,101.5,5.883489608764648,220.08668518066406,0.14407104253768915,37.5,1.0,166.0,43.0,73.5,29.0,,Plantae,0.01,0.0,0.005646563189425783,5.595585e-05,0.0009570012,0.000945419,0.0029341565383076743,0.00405069938960628,0,Low (<30%),Elliott Chaparral,Mission Trails
2771,Trombidioidea,215.0,5.965339183807373,321.5764465332031,0.1589791923761367,23.0,1.0,183.0,47.0,74.0,27.0,Velvet Mites,Arachnida,0.0,0.005875830139273652,0.010867347697535985,1.2347378e-05,0.00012225175,0.0007256603,0.0029339062098936376,0.0045059843037879525,0,Low (<30%),Elliott Chaparral,Mission Trails
2772,Bemisia,137.0,5.778937339782715,118.88627910614015,0.1255511082708835,37.5,38.5,129.0,43.0,75.0,28.5,,Insecta,0.006666666666666667,0.00460591841231019,0.0051423658070804,0.0001738648,0.0003525075,0.00064147817,0.0029304668897554183,0.0028685544283760136,0,Low (<30%),Elliott Chaparral,Mission Trails
2773,Aroga paraplutella,93.5,4.412721872329712,195.19589042663574,0.11423706635832785,21.0,12.0,166.0,40.0,74.0,27.0,,Insecta,0.013333333333333334,0.003350567129489357,0.0,4.7578586e-05,0.0003049646,0.0005374933,0.0029289894960934267,0.005251939970387861,0,Low (<30%),Elliott Chaparral,Mission Trails
2774,Eupithecia,153.0,5.712489128112793,196.56579589843747,0.1281976848840713,23.0,11.0,166.0,45.0,74.0,27.5,Pug Moths,Insecta,0.006666666666666667,0.0018634110267381789,0.005893250223431977,0.00026299473,0.0016147294,0.0011740101,0.0029125103592056918,0.002676029175897197,0,Low (<30%),Elliott Chaparral,Mission Trails
2775,Quercus agrifolia oxyadenia,92.5,4.796328544616699,201.19890594482422,0.21788351237773895,71.0,0.0,192.0,42.5,71.0,27.0,Southern Coast Live Oak,Plantae,0.01,0.0,0.004055937681884994,0.00029360678,0.0023678683,0.00074958714,0.0029111666530491046,0.003790941017549193,0,Low (<30%),Elliott Chaparral,Mission Trails
2776,Sabulodes aegrotata,94.0,4.960603713989258,288.0966186523437,0.14066943526268,21.0,3.0,166.0,44.0,74.0,27.0,Omnivorous Looper,Insecta,0.0033333333333333335,0.0061956415150937446,0.006955850153072747,5.0480823e-05,0.0003369875,0.00058975606,0.0029103415628623486,0.003082996246076512,0,Low (<30%),Elliott Chaparral,Mission Trails
2777,Hylephila phyleus,169.0,4.565362453460693,210.7520446777344,0.1430158764123916,52.0,0.0,168.0,45.0,74.0,27.0,Fiery Skipper,Insecta,0.006666666666666667,0.0013397362191410213,0.007064762042744805,0.00011922089,0.0009649723,0.0012797993,0.002905859565100599,0.003100624219995494,0,Low (<30%),Elliott Chaparral,Mission Trails
2778,Amanita ocreata,85.0,6.824924945831299,284.1495361328125,0.1748107969760894,52.0,0.0,166.0,43.0,72.0,28.0,Western Destroying Angel,Fungi,0.006666666666666667,0.0,0.005941074568165039,0.0005609671,0.0029369043,0.0013253152,0.0029051546407100133,0.0028212699978714274,0,Low (<30%),Elliott Chaparral,Mission Trails
2779,Cyclorrhapha,90.0,12.780250549316406,261.0464172363281,0.1200153529644012,22.0,11.0,197.0,51.0,71.0,23.0,Cyclorrhaphan Flies,Insecta,0.006666666666666667,0.0,0.010285752774023955,3.3539363e-05,0.000118634925,0.0002991083,0.0029006170052488195,0.004469101596891813,0,Low (<30%),Elliott Chaparral,Mission Trails
2780,Pepsini,102.0,5.741108179092407,155.74597930908203,0.1438895985484123,52.0,0.0,152.0,43.0,72.0,26.5,Tarantula-hawk Wasps and Allies,Insecta,0.0,0.0,0.0010712579790698685,0.001693384,0.012364071,0.00227401,0.0029004538270987934,0.004723996589907867,0,Low (<30%),Elliott Chaparral,Mission Trails
2781,Oryzaephilus surinamensis,203.0,3.307600975036621,270.0,0.1529774218797683,22.0,37.0,170.0,47.0,74.0,27.0,Sawtoothed Grain Beetle,Insecta,0.006666666666666667,0.0018033104953616684,0.006160352722328243,0.00022145333,0.0012035611,0.0013341684,0.00289825211106423,0.002775778562773683,0,Low (<30%),Elliott Chaparral,Mission Trails
2782,Andrena sola,176.0,5.163203954696655,219.70716857910156,0.1257904693484306,52.0,0.0,106.0,45.0,76.0,25.0,Lonely Mining Bee,Insecta,0.0,0.0036618900313951856,0.01090940568286814,0.00033252785,0.0013447951,0.0011348488,0.0028972445794344707,0.004129584591578132,0,Low (<30%),Elliott Chaparral,Mission Trails
2783,Polygonum aviculare,73.0,4.41250467300415,167.41131782531738,0.17389191687107086,36.5,5.0,141.0,39.0,73.0,28.5,Prostrate Knotweed,Plantae,0.01,0.0008726857945073266,0.005646563189425783,5.2687534e-05,0.0002936454,0.00050517265,0.002895125760302915,0.004066913825968511,0,Low (<30%),Elliott Chaparral,Mission Trails
2784,Scymnini,76.0,15.035440444946287,270.0,0.1531678140163421,22.0,6.0,197.0,49.0,71.0,22.0,Dusky Lady Beetles,Insecta,0.006666666666666667,0.0,0.0102479060154148,4.0888848e-05,0.000105014275,0.0002991083,0.002893264017804367,0.004457360828045702,0,Low (<30%),Elliott Chaparral,Mission Trails
2785,Stephanomeria virgata pleurocarpa,186.0,8.585075378417969,229.9576873779297,0.1738212406635284,52.0,0.0,106.0,46.0,74.0,25.0,,Plantae,0.0,0.001487156102751178,0.01387158184213503,0.0002533341,0.00084837415,0.0008936367,0.002892347151883898,0.005404088956610178,0,Low (<30%),Elliott Chaparral,Mission Trails
2786,Chrysopidae,115.5,6.133939266204834,238.57919311523438,0.1135072447359561,22.0,15.5,168.0,45.0,73.5,27.5,Green Lacewings,Insecta,0.013333333333333334,0.00042443591181673065,0.0011536662925551815,0.00011159486,0.0012802796,0.0010436649,0.002891162478369125,0.005135693766304367,0,Low (<30%),Elliott Chaparral,Mission Trails
